iter	Passed	Remaining
399	27140	40711
400	27200	40631
401	27251	40538
402	27294	40433
403	27338	40330
404	27407	40265
405	27446	40155
406	27495	40060
407	27553	39979
408	27609	39895
409	27657	39800
410	27699	39695
411	27744	39596
412	27779	39483
413	27822	39381
414	27887	39311
415	27938	39220
416	27985	39125
417	28043	39046
418	28088	38949
419	28131	38847
420	28175	38749
421	28223	38657
422	28266	38557
423	28330	38486
424	28412	38440
425	28509	38413
426	28556	38320
427	28589	38208
428	28658	38144
429	28721	38072
430	28775	37988
431	29040	38182
432	29095	38099
433	29180	38056
434	29291	38044
435	29343	37958
436	29419	37901
437	29492	37841
438	29536	37744
439	29586	37656
440	29634	37564
441	29686	37477
442	29734	37386
443	29789	37304
444	29844	37222
445	29931	37179
446	29981	37091
447	30032	37004
448	30104	36942
449	30208	36921
450	30272	36850
451	30320	36760
452	30371	36673
453	30427	36593
454	30537	36577
455	30599	36504
456	30648	36415
457	30719	36354
458	30798	36300
459	30896	36269
460	30970	36210
461	31027	36131
462	31080	36047
463	31131	35961
464	31184	35878
465	31237	35796
466	31296	35719
467	31354	35641
468	31424	35578
469	31494	35514
470	31569	35457
471	31639	35392
472	31694	35313
473	31771	35256
474	31822	35172
475	31924	35143
476	32065	35157
477	32218	35184
478	32294	35126
479	32354	35051
480	32407	34967
481	32463	34887
482	32504	34792
483	32615	34772
484	32681	34702
485	32734	34620
486	32799	34550
487	32855	34470
488	32910	34390
489	32961	34307
490	33012	34222
491	33067	34142
492	33119	34059
493	33256	34064
494	33397	34071
495	33470	34010
496	33521	33926
497	33778	34049
498	33922	34058
499	33969	33969
500	34045	33909
501	34103	33831
502	34164	33756
503	34218	33674
504	34264	33585
505	34323	33509
506	34484	33532
507	34534	33446
508	34588	33365
509	34644	33285
510	34870	33369
511	34962	33323
512	35043	33267
513	35106	33194
514	35158	33110
515	35216	33032
516	35257	32938
517	35296	32843
518	35348	32760
519	35409	32685
520	35452	32594
521	35492	32501
522	35535	32409
523	35574	32315
524	35622	32230
525	35675	32148
526	35718	32058
527	35774	31979
528	35814	31888
529	35855	31796
530	35891	31701
531	35932	31610
532	35972	31518
533	36025	31438
534	36078	31358
535	36117	31266
536	36171	31186
537	36231	31113
538	36283	31032
539	36340	30956
540	36408	30890
541	36460	30809
542	36507	30725
543	36553	30640
544	36599	30555
545	36644	30469
546	36690	30385
547	36736	30300
548	36777	30212
549	36824	30128
550	36869	30044
551	36918	29962
552	36964	29879
553	37010	29795
554	37058	29713
555	37106	29631
556	37162	29556
557	37207	29472
558	37243	29381
559	37291	29300
560	37353	29230
561	37409	29155
562	37490	29100
563	37536	29017
564	37575	28929
565	37616	28843
566	37658	28758
567	37717	28686
568	37765	28606
569	37811	28524
570	37858	28443
571	37906	28363
572	37950	28280
573	38001	28203
574	38048	28122
575	38095	28042
576	38143	27962
577	38187	27880
578	38241	27806
579	38293	27729
580	38343	27652
581	38387	27570
582	38426	27484
583	38478	27409
584	38522	27328
585	38564	27245
586	38608	27163
587	38646	27079
588	38686	26995
589	38730	26914
590	38773	26833
591	38810	26747
592	38869	26677
593	38924	26604
594	38966	26523
595	39006	26440
596	39042	26355
597	39093	26280
598	39159	26215
599	39203	26135
600	39251	26058
601	39296	25979
602	39345	25904
603	39396	25829
604	39447	25755
605	39499	25681
606	39545	25603
607	39593	25527
608	39638	25449
609	39685	25372
610	39733	25296
611	39770	25213
612	39818	25138
613	39861	25059
614	39912	24985
615	39957	24908
616	40004	24832
617	40054	24758
618	40105	24685
619	40164	24616
620	40226	24550
621	40271	24473
622	40311	24393
623	40355	24316
624	40396	24237
625	40447	24165
626	40484	24084
627	40522	24004
628	40558	23922
629	40610	23850
630	40649	23771
631	40689	23692
632	40726	23612
633	40765	23533
634	40806	23455
635	40848	23378
636	40885	23299
637	40940	23229
638	40977	23150
639	41015	23071
640	41072	23003
641	41135	22938
642	41176	22861
643	41229	22791
644	41271	22715
645	41321	22643
646	41363	22567
647	41402	22490
648	41445	22415
649	41483	22337
650	41518	22257
651	41557	22180
652	41599	22105
653	41634	22026
654	41686	21957
655	41735	21885
656	41774	21809
657	41810	21731
658	41849	21654
659	41902	21586
660	41940	21509
661	41981	21434
662	42024	21361
663	42082	21294
664	42138	21227
665	42179	21153
666	42217	21077
667	42270	21008
668	42321	20939
669	42359	20863
670	42409	20794
671	42459	20724
672	42504	20652
673	42552	20581
674	42593	20507
675	42642	20438
676	42687	20366
677	42773	20314
678	42821	20244
679	42872	20175
680	42917	20103
681	42984	20042
682	43046	19978
683	43149	19934
684	43222	19876
685	43279	19810
686	43343	19747
687	43400	19681
688	43451	19613
689	43509	19547
690	43564	19481
691	43639	19423
692	43687	19353
693	43735	19283
694	43777	19211
695	43819	19139
696	43860	19066
697	43910	18998
698	43952	18926
699	43991	18853
700	44038	18783
