iter	Logloss
0	0.6887135739
1	0.684804768
2	0.6809087085
3	0.6775454561
4	0.6747171486
5	0.6722071532
6	0.6700929263
7	0.6683801695
8	0.6668885016
9	0.6654864208
10	0.6640187365
11	0.6629656566
12	0.6616716468
13	0.6605534879
14	0.6597080895
15	0.6588673679
16	0.658176536
17	0.6576058515
18	0.6570224796
19	0.656316186
20	0.655844743
21	0.6553703944
22	0.6548839706
23	0.6545096567
24	0.6541094774
25	0.6536997846
26	0.6531719751
27	0.65280178
28	0.6525239225
29	0.65225936
30	0.6519416435
31	0.6516336494
32	0.6513263905
33	0.650904987
34	0.6506401289
35	0.6502570079
36	0.6499490248
37	0.6496065695
38	0.6493491863
39	0.6489892379
40	0.6487362212
41	0.6484720446
42	0.6482808256
43	0.6480600251
44	0.6477370829
45	0.6474436054
46	0.6472151283
47	0.6469911698
48	0.6466939935
49	0.646442414
50	0.6460310584
51	0.6458942919
52	0.6457550544
53	0.6455892057
54	0.6453292594
55	0.6450535947
56	0.6448037049
57	0.6445210033
58	0.6442993951
59	0.6440108245
60	0.6437826837
61	0.6437125393
62	0.6435622855
63	0.6433241383
64	0.6431635771
65	0.6429755984
66	0.6427866219
67	0.6426510476
68	0.6424618796
69	0.6422308054
70	0.6421143279
71	0.6418650237
72	0.641532563
73	0.6413972851
74	0.6412515427
75	0.6410548527
76	0.640879125
77	0.6407226119
78	0.6405672164
79	0.6404554865
80	0.6402765318
81	0.6401525046
82	0.6400609229
83	0.6399570382
84	0.6398066251
85	0.6396407447
86	0.6394825703
87	0.6393649937
88	0.6391837784
89	0.6390698124
90	0.6389672307
91	0.6388836683
92	0.6387216924
93	0.6385273614
94	0.6384385646
95	0.6383461883
96	0.6382492725
97	0.638014195
98	0.6379390065
99	0.6378016521
100	0.6376259404
101	0.6374598083
102	0.6373172794
103	0.6372155143
104	0.6370275565
105	0.6369753452
106	0.6367433809
107	0.636613066
108	0.636516702
109	0.6364082999
110	0.6363526612
111	0.6362059513
112	0.6360830094
113	0.6359752417
114	0.6357973813
115	0.6357218063
116	0.6356303925
117	0.6355773233
118	0.6353734819
119	0.6350212684
120	0.6349068427
121	0.6347228024
122	0.6346398646
123	0.634478173
124	0.634423482
125	0.6342948785
126	0.6340793726
127	0.6339530111
128	0.6338158745
129	0.6336961013
130	0.6335634877
131	0.6334212648
132	0.6332003348
133	0.6331123004
134	0.632985471
135	0.632890599
136	0.6328094255
137	0.6326585406
138	0.6325450466
139	0.6324072321
140	0.6322378408
141	0.6320340892
142	0.6318670784
143	0.6317788514
144	0.6316439083
145	0.6315839777
146	0.6315178485
147	0.631355571
148	0.6312522098
149	0.6310812557
150	0.6310487549
151	0.6309843973
152	0.6309271038
153	0.6307839196
154	0.6306505404
155	0.6304558553
156	0.6303557155
157	0.6301375765
158	0.6299979235
159	0.629858667
160	0.629741573
161	0.629533665
162	0.6294357297
163	0.6292829731
164	0.6291937434
165	0.6290859568
166	0.6290098132
167	0.628881207
168	0.6286759798
169	0.6285476272
170	0.6284110151
171	0.6282502569
172	0.6281142351
173	0.6279600874
174	0.6277634227
175	0.6274927637
176	0.6273160657
177	0.6271543635
178	0.6270954675
179	0.6269639729
180	0.6266678313
181	0.6264117181
182	0.626209603
183	0.625979111
184	0.6257107471
185	0.6254570344
186	0.6252678983
187	0.6250876623
188	0.6248461061
189	0.6246336806
190	0.6243920111
191	0.6240803691
192	0.62388087
193	0.6236312383
194	0.6234395065
195	0.6232760781
196	0.6230963988
197	0.6229880724
198	0.6227792553
199	0.6225882895
200	0.6223516204
201	0.622163745
202	0.6219426311
203	0.6217494419
204	0.6215633694
205	0.6213578688
206	0.6212666497
207	0.621017886
208	0.6208545285
209	0.6206811696
210	0.620459113
211	0.6203147255
212	0.6201750997
213	0.6199112833
214	0.6197303091
215	0.6195831471
216	0.6193445435
217	0.619193244
218	0.6190190721
219	0.6188547983
220	0.6186990562
221	0.6186315833
222	0.6184538698
223	0.6181860845
224	0.6179891421
225	0.6178033334
226	0.6176390008
227	0.6174830095
228	0.6172474688
229	0.6170577427
230	0.6169480353
231	0.6167314272
232	0.6165639772
233	0.616429243
234	0.6162124127
235	0.6160185779
236	0.6158336164
237	0.6156745271
238	0.615539025
239	0.6153288996
240	0.6151570792
241	0.6149709201
242	0.6148380469
243	0.6146378074
244	0.6145433165
245	0.6145067648
246	0.614322776
247	0.6141574952
248	0.6139324634
249	0.6137229279
250	0.6135414304
251	0.6133904618
252	0.6131810488
253	0.612978806
254	0.6128049529
255	0.6126666773
256	0.6125292454
257	0.6124223872
258	0.6122529619
259	0.6120610196
260	0.6118759113
261	0.6117386423
262	0.6115159684
263	0.6112977743
264	0.6111166655
265	0.6109556378
266	0.6108897018
267	0.6107406226
